시도명,약국수,인구수,인구수대비약국수
서울특별시,4982,"9,502",0.524310671
부산광역시,1609,"3,327",0.483618876
대구광역시,1328,"2,388",0.556113903
인천광역시,1167,"2,941",0.396803808
광주광역시,722,"1,469",0.49149081
대전광역시,724,"1,479",0.489519946
울산광역시,428,"1,124",0.380782918
세종특별자치시,162,366,0.442622951
경기도,5466,"13,612",0.401557449
강원도,697,"1,520",0.458552632
충청북도,695,"1,632",0.425857843
충청남도,964,"2,177",0.442811208
전라북도,978,"1,794",0.545150502
전라남도,839,"1,783",0.470555244
경상북도,1096,"2,641",0.41499432
경상남도,1383,"3,318",0.41681736
제주특별자치도,301,673,0.447251114
