"시군구별(1)",2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4
"시군구별(1)",전체,의사,의사,의사,의사,의사,치과의사,치과의사,치과의사,치과의사,치과의사,한의사,한의사,한의사,한의사,한의사,조산사,약사,한약사,물리치료사,작업치료사,사회복지사
"시군구별(1)",소계,소계,일반의,인턴,레지던트,전문의,소계,일반의,인턴,레지던트,전문의,소계,일반의,일반수련의,전문수련의,전문의,소계,소계,소계,소계,소계,소계
"전체",264115,112455,6063,3171,9822,93399,27948,17651,367,920,9010,22732,19068,283,378,3003,55,40232,1198,46819,8401,4275
"서울",66596,32827,1373,1371,4281,25802,7516,4353,148,450,2565,5247,4198,106,130,813,10,9602,309,9225,1285,575
"부산",19681,8330,372,233,656,7069,1824,1272,3,8,541,1802,1551,8,32,211,1,2911,56,3700,687,370
"대구",14552,6218,185,190,641,5202,1387,914,26,59,388,1229,1075,11,17,126,0,2168,43,2582,693,232
"인천",13554,5350,278,152,396,4524,1343,838,3,3,499,1120,976,4,0,140,4,2002,68,2823,580,264
"광주",9208,3765,151,102,312,3200,1049,604,49,80,316,669,507,25,9,128,0,1262,80,1848,357,178
"대전",8878,3804,182,145,385,3092,854,554,14,31,255,782,617,19,33,113,2,1256,52,1629,353,146
"울산",4548,1807,106,29,91,1581,515,367,4,4,140,414,350,13,0,51,3,743,22,805,148,91
"세종",1238,498,38,0,0,460,143,60,0,0,83,127,105,0,0,22,2,228,9,215,8,8
"경기",58610,23748,1048,473,1641,20586,6411,3934,24,54,2399,4987,4182,31,64,710,21,9296,281,10729,2160,977
"강원",6540,2799,208,75,275,2241,733,444,19,55,215,571,503,5,7,56,0,1069,15,1089,162,102
"충북",6774,2547,217,34,121,2175,702,468,0,1,233,651,540,10,13,88,1,1118,27,1348,254,126
"충남",8456,3260,330,56,199,2675,969,613,24,60,272,837,701,11,12,113,0,1450,45,1494,225,176
"전북",9498,3721,302,109,292,3018,955,621,25,58,251,937,753,13,26,145,0,1452,60,1843,324,206
"전남",8544,3210,419,50,90,2651,812,637,0,0,175,803,692,11,4,96,3,1316,44,1945,194,217
"경북",9744,3641,378,23,47,3193,970,760,0,0,210,1037,950,6,12,69,1,1645,18,1907,259,266
"경남",14675,5733,401,114,323,4895,1455,979,28,57,391,1268,1134,10,19,105,6,2216,60,3023,618,296
"제주",3019,1197,75,15,72,1035,310,233,0,0,77,251,234,0,0,17,1,498,9,614,94,45
