"지역별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"지역별(1)",계,30분 미만,30분~2시간,2~4시간,4~6시간,6~8시간,8~12시간,12~24시간,24시간 이상,미상/미입력
"전체",4644231,355049,1292304,548170,294884,199524,269333,458539,1167541,58887
"서울",1093564,81257,265752,116957,65449,44864,66889,114112,335912,2372
"부산",206589,8440,57348,23608,10954,7500,10129,17668,48543,22399
"대구",184440,11615,46653,21868,12369,8445,11022,21354,50441,673
"인천",309621,19578,113048,33134,18369,12339,16642,27805,68536,170
"광주",140056,9548,33571,18144,9844,6884,9427,14435,38133,70
"대전",154941,12766,41467,18524,9843,6686,8496,16219,40937,3
"울산",68075,5568,18847,8788,3845,2616,3534,9217,15660,-
"세종",10006,560,1794,817,453,285,378,625,1479,3615
"경기",1093766,84001,308906,136311,72210,49805,63737,110069,251421,17306
"강원",177957,12536,50345,22091,11457,7369,9460,15890,46388,2421
"충북",120027,12799,35983,13938,7740,4910,6294,10807,26882,674
"충남",209273,21145,64685,24477,13341,8901,12305,19776,44184,459
"전북",232001,18437,64279,27978,15105,9969,13352,20661,55379,6841
"전남",105867,8296,31415,14173,7880,4923,6031,8988,24020,141
"경북",195905,20190,62603,24124,12594,8512,10670,17909,38360,943
"경남",213356,17108,53405,27651,15048,9876,12740,20980,55968,580
"제주",128787,11205,42203,15587,8383,5640,8227,12024,25298,220
